NEAREST_AGENCY_DISTANCE,NEAREST_AGENCY_DUREE,NEAREST_AGENCY_LABEL,ZIP_CODE
132869,79,Montpellier,11510
116203,72,Dijon,89200
65733,57,Clermont-Ferrand,63113
184812,126,Clermont-Ferrand,12470
63846,45,Clermont-Ferrand,43390
11824,30,Sainte-Geneviève-des-Bois,91210
80726,58,Lille,59123
147597,97,Clermont-Ferrand,18600
14495,11,Strasbourg,67203
100644,92,Clermont-Ferrand,15350
44072,40,Dijon,52160
20442,38,Paris,94490
53361,39.816666667,Nantes,44320
54084,45.783333333,Caen,61790
17370,35,Paris,93130
67063,52,Lille,62510
33994,29,Avignon,84570
74661,56.2,Tours,49650
20647,38,Melun,77430
94159,63,Bordeaux,33580
134516,81,Toulouse,65190
107934,70,Rouen,80130
44210,31,Caen,14640
37477,31,Aix-en-Provence,84530
85798,53,Strasbourg,57830
113643,65,Reims,77470
146877,113,Toulouse,81160
26301,43,Paris,93270
92434,86.116666667,Tours,28330
108366,65,Les Ulis,45560
77170,59,Lyon,42530
61281,47.716666667,Nantes,44760
59172,43.433333333,Nantes,44160
104681,79,Bordeaux,40430
13847,32,Paris,92380
14635,32,Sainte-Geneviève-des-Bois,91290
87241,61,Strasbourg,88490
33857,50,Les Ulis,78120
49567,65,Paris,77280
26322,24,Nice,6390
113957,76,Dijon,39110
65313,39,Caen,50420
85924,54,Rouen,76610
14624,10,Metz,57300
74332,52,Toulouse,11310
85470,62,Rouen,76260
58000,40,Nemours,45270
28592,32,Avignon,30490
185980,120,Tours,86250
27609,23,Donzère (reprise uniquement),84430
120161,81,Reims,51260
157927,107,Montpellier,12410
30471,27,Avignon,13150
149355,111,Bordeaux,32440
54181,52,Annecy,73720
142865,101,Strasbourg,68470
144703,93,Toulouse,65220
88341,73,Clermont-Ferrand,15190
4622,22,Cergy-Pontoise,95490
55007,44.6,Les Ulis,28700
197863,125,Bordeaux,19350
133287,81,Bordeaux,17770
45539,38.65,Saint-Germain-en-Laye,27620
52202,50,Avignon,26170
10897,11,Avignon,84230
147137,134,Clermont-Ferrand,23430
14779,33,Melun,77390
71236,59,Tours,37120
16754,34,Saint-Germain-en-Laye,78860
123243,88,Clermont-Ferrand,71340
29000,24,Nemours,45390
74576,49.966666667,Caen,61200
89591,59,Reims,77840
182755,117,Clermont-Ferrand,48230
9146,27,Lille,59800
77493,67,Toulouse,81210
100556,72,Caen,50710
80081,66,Lille,62810
170360,106,Clermont-Ferrand,18340
32061,26,Grenoble,38850
66725,52.4,Saint-Germain-en-Laye,28100
111319,68,Toulouse,11700
123220,71,Montpellier,11480
156822,100,Metz,88200
44257,34.75,Cergy-Pontoise,27150
109368,76.05,Nantes,53290
31357,20,Tours,37110
40729,26,Toulon,83270
155874,94,Strasbourg,90170
25019,22,Toulon,83330
16751,34,Paris,94460
180536,142,Toulouse,66340
111013,77,Cergy-Pontoise,80440
25397,42,Paris,93390
164814,123,Tours,36310
24444,18,Metz,57290
5305,24,Paris,92130
5000,6,Nemours,77880
18393,36,Cergy-Pontoise,95760
22661,19,Avignon,13670
88938,70,Toulouse,32390
74079,57,Paris,60129
95384,61,Reims,77260
94949,68.55,Lorient,29740
70562,49,Aix-en-Provence,4860
140666,83,Nantes,85490
21118,38,Lyon,69660
154833,92,Dijon,25150
7810,8,Grenoble,38950
202593,119,Clermont-Ferrand,19210
16528,34,Paris,92270
25780,20,Lille,62420
164822,111,Tours,18510
102360,66,Lille,62215
15793,33,Cergy-Pontoise,95540
96521,67,Rouen,80290
114862,89,Montpellier,30530
58167,47,Montpellier,30800
105876,67,Rouen,80390
82990,53,Caen,50310
30880,47,Lyon,69390
48658,34,Annecy,74250
207416,139,Bordeaux,87420
24755,20,Aix-en-Provence,13340
17142,20,Rouen,76380
28197,29.5,Nantes,44440
19033,36,Cergy-Pontoise,95150
52486,45.566666667,Rennes,35610
84381,62,Bordeaux,16210
83330,60,Clermont-Ferrand,42111
110245,78,Toulouse,11380
245908,140,Clermont-Ferrand,87110
46891,62,Melun,77141
98613,67,Dijon,71390
194288,113,Clermont-Ferrand,19380
155782,101,Tours,36260
246032,144,Clermont-Ferrand,87240
154435,86,Bordeaux,17870
92434,65,Toulouse,31260
34459,29,Avignon,30300
67963,61,Montpellier,30140
137864,128.866666667,Lorient,22610
8543,27,Bordeaux,33185
25343,42,Lille,59390
139325,95,Toulouse,12240
8316,27,Lyon,69500
28351,19,Lyon,38290
44785,60,Paris,77230
110819,69,Strasbourg,68540
75831,50.066666667,Rennes,53810
99945,85,Annecy,73700
55620,37,Metz,57470
16678,19,Montpellier,34820
117914,73,Melun,10190
64658,42,Grenoble,73250
166062,108,Montpellier,12310
102312,76,Reims,8450
8023,26,Paris,75003
25818,24.816666667,Rennes,35310
133955,79,Reims,10220
7194,11,Mougins,6370
76979,48.916666667,Lorient,56460
21858,39,Saint-Germain-en-Laye,78650
20343,38,Lyon,69310
114812,68.85,Tours,72110
13712,32,Cergy-Pontoise,95430
56788,36,Montpellier,34550
128480,98,Toulouse,9800
110882,84,Lille,59740
16148,34,Paris,92230
71690,46,Lille,62151
195750,122,Bordeaux,64330
49449,65,Melun,77970
109297,84,Strasbourg,68380
108995,68,Lille,2690
17967,35,Cergy-Pontoise,95250
159957,98,Strasbourg,90130
144872,98,Dijon,71130
64803,47,Nantes,85130
42432,29,Grenoble,38470
104513,83,Toulouse,82330
39968,33.266666667,Rennes,22830
45634,37,Lille,59195
18828,15,Toulon,83250
150773,115,Reims,8600
38765,33,Grenoble,38137
