timestamp,latitude,longitude,altitude,heart_rate,power,cadence,speed,temperature,distance
2026-01-15T09:20:46.000Z,,,0.3,,86,75,22.3992,,0.37932
2026-01-15T09:20:47.000Z,,,0.3,,85,76,19.994400000000002,,0.38526
2026-01-15T09:20:48.000Z,,,0.3,,94,77,21.794400000000003,,0.38966
2026-01-15T09:20:49.000Z,,,0.3,,103,79,23.6772,,0.39773000000000003
2026-01-15T09:20:50.000Z,,,0.3,,96,82,24.962400000000002,,0.4043
2026-01-15T09:20:51.000Z,,,0.3,,72,82,17.6256,,0.41022000000000003
2026-01-15T09:20:52.000Z,,,0.3,,43,79,10.512,,0.41353
2026-01-15T09:20:53.000Z,,,0.3,,40,76,8.514000000000001,,0.41575
2026-01-15T09:20:54.000Z,,,0.3,,52,74,11.451600000000001,,0.41827
2026-01-15T09:20:55.000Z,,,0.3,,63,73,14.8752,,0.42248
2026-01-15T09:20:56.000Z,,,0.3,,79,73,18.6624,,0.42767000000000005
2026-01-15T09:20:57.000Z,,,0.3,,89,74,24.3576,,0.43391
2026-01-15T09:20:58.000Z,,,0.3,,86,75,20.653200000000002,,0.43942000000000003
2026-01-15T09:20:59.000Z,,,0.3,,80,76,19.8504,,0.4457
2026-01-15T09:21:00.000Z,,,0.3,,68,75,17.1036,,0.45059
2026-01-15T09:21:01.000Z,,,0.3,,65,74,14.713199999999999,,0.45464
2026-01-15T09:21:02.000Z,,,0.3,,71,74,17.586,,0.45998000000000006
2026-01-15T09:21:03.000Z,,,0.3,,78,74,18.511200000000002,,0.46408
2026-01-15T09:21:04.000Z,,,0.3,,85,75,23.288400000000003,,0.4704
2026-01-15T09:21:05.000Z,,,0.3,,79,75,19.756800000000002,,0.47635000000000005
2026-01-15T09:21:06.000Z,,,0.3,,72,75,18.0936,,0.48073000000000005
2026-01-15T09:21:07.000Z,,,0.3,,69,74,16.981199999999998,,0.4857
2026-01-15T09:21:08.000Z,,,0.3,,74,74,17.7696,,0.49092
2026-01-15T09:21:09.000Z,,,0.3,,79,75,19.98,,0.49613
2026-01-15T09:21:10.000Z,,,0.3,,80,75,20.2068,,0.5017400000000001
2026-01-15T09:21:11.000Z,,,0.3,,77,75,18.3132,,0.50644
2026-01-15T09:21:12.000Z,,,0.3,,74,76,20.2392,,0.5116700000000001
2026-01-15T09:21:13.000Z,,,0.3,,71,75,17.1432,,0.51687
2026-01-15T09:21:14.000Z,,,0.3,,79,75,18.788400000000003,,0.5218700000000001
2026-01-15T09:21:15.000Z,,,0.3,,94,76,24.8508,,0.5281399999999999
2026-01-15T09:21:16.000Z,,,0.3,,89,78,21.5136,,0.53464
2026-01-15T09:21:17.000Z,,,0.3,,80,78,20.5236,,0.5395599999999999
2026-01-15T09:21:18.000Z,,,0.3,,70,78,16.6392,,0.54477
2026-01-15T09:21:19.000Z,,,0.3,,69,78,17.665200000000002,,0.5493600000000001
2026-01-15T09:21:20.000Z,,,0.3,,73,77,17.676000000000002,,0.55404
2026-01-15T09:21:21.000Z,,,0.3,,78,78,20.973599999999998,,0.55984
2026-01-15T09:21:22.000Z,,,0.3,,79,78,18.392400000000002,,0.56449
2026-01-15T09:21:23.000Z,,,0.3,,83,79,20.0556,,0.56986
2026-01-15T09:21:24.000Z,,,0.3,,88,80,22.7592,,0.5758200000000001
2026-01-15T09:21:25.000Z,,,0.3,,85,81,21.3372,,0.58224
2026-01-15T09:21:26.000Z,,,0.3,,74,81,20.862000000000002,,0.5882000000000001
2026-01-15T09:21:27.000Z,,,0.3,,59,80,14.1876,,0.59238
2026-01-15T09:21:28.000Z,,,0.3,,59,79,17.244,,0.59656
2026-01-15T09:21:29.000Z,,,0.3,,62,78,13.2948,,0.59985
2026-01-15T09:21:30.000Z,,,0.3,,64,77,16.8624,,0.60491
2026-01-15T09:21:31.000Z,,,0.3,,62,76,15.3,,0.60877
2026-01-15T09:21:32.000Z,,,0.3,,65,75,14.832,,0.6129600000000001
2026-01-15T09:21:33.000Z,,,0.3,,74,75,19.1268,,0.61814
2026-01-15T09:21:34.000Z,,,0.3,,77,75,18.8208,,0.62341
2026-01-15T09:21:35.000Z,,,0.3,,80,75,20.6064,,0.62856
2026-01-15T09:21:36.000Z,,,0.3,,77,76,19.0728,,0.63414
2026-01-15T09:21:37.000Z,,,0.3,,73,75,17.247600000000002,,0.6399
2026-01-15T09:21:38.000Z,,,0.3,,78,75,20.465999999999998,,0.64464
2026-01-15T09:21:39.000Z,,,0.3,,55,69,16.668,,0.64998
2026-01-15T09:21:40.000Z,,,,,1,45,10.9908,,0.64998
